% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
1.608	1	0	8	235.856	0
1.609	1	0	9	182.138	0
1.61	1	0	10	1233.11	0
1.611	1	0	11	215.889	0
1.612	1	0	12	183.458	0
1.613	1	0	13	217.934	0
1.614	1	0	14	158.123	0
1.615	1	0	15	189.43	0
1.616	1	0	16	635.521	0
1.617	1	0	17	656.286	0
1.618	1	0	18	377.122	0
1.619	1	0	19	243.264	0
1.62	1	0	20	5333.22	0
1.621	1	0	21	495.129	0
1.921	1	0	1	239.866	0
1.922	1	0	2	151.525	0
1.923	1	0	3	179.063	0
1.924	1	0	4	213.8	0
1.925	1	0	5	249.788	0
1.926	1	0	6	5323.86	0
1.927	1	0	7	149.952	0
1.928	1	0	8	235.623	0
1.929	1	0	9	182.452	0
1.93	1	0	10	1236.11	0
1.931	1	0	11	216.43	0
1.932	1	0	12	183.716	0
1.933	1	0	13	217.891	0
1.934	1	0	14	158.07	0
1.935	1	0	15	189.564	0
1.936	1	0	16	636.928	0
1.937	1	0	17	658.687	0
1.938	1	0	18	378.004	0
1.939	1	0	19	243.452	0
1.94	1	0	20	5317.94	0
1.941	1	0	21	495.026	0
2.241	1	0	1	239.472	0
2.242	1	0	2	151.884	0
2.243	1	0	3	179.283	0
2.244	1	0	4	214.434	0
2.245	1	0	5	249.902	0
2.246	1	0	6	5323.87	0
2.247	1	0	7	149.721	0
2.248	1	0	8	236.163	0
2.249	1	0	9	182.571	0
2.25	1	0	10	1233.44	0
2.251	1	0	11	216.841	0
2.252	1	0	12	183.22	0
2.253	1	0	13	217.472	0
2.254	1	0	14	158.307	0
2.255	1	0	15	189.322	0
2.256	1	0	16	634.76	0
2.257	1	0	17	660.573	0
2.258	1	0	18	377.101	0
2.259	1	0	19	243.695	0
2.26	1	0	20	5313.82	0
2.261	1	0	21	495.437	0
2.561	1	0	1	239.078	0
2.562	1	0	2	152.243	0
2.563	1	0	3	179.503	0
2.564	1	0	4	215.071	0
2.565	1	0	5	250.016	0
2.566	1	0	6	5323.87	0
2.567	1	0	7	149.49	0
2.568	1	0	8	236.704	0
2.569	1	0	9	182.689	0
2.57	1	0	10	1230.75	0
2.571	1	0	11	217.254	0
2.572	1	0	12	182.726	0
2.573	1	0	13	217.055	0
2.574	1	0	14	158.545	0
2.575	1	0	15	189.081	0
2.576	1	0	16	632.598	0
2.577	1	0	17	662.46	0
2.578	1	0	18	376.2	0
2.579	1	0	19	243.937	0
2.58	1	0	20	5312.99	0
2.581	1	0	21	495.843	0
2.881	1	0	1	238.684	0
2.882	1	0	2	152.605	0
2.883	1	0	3	179.722	0
2.884	1	0	4	215.711	0
2.885	1	0	5	250.13	0
2.886	1	0	6	5323.88	0
2.887	1	0	7	149.26	0
2.888	1	0	8	237.246	0
2.889	1	0	9	182.807	0
2.89	1	0	10	1228.03	0
2.891	1	0	11	217.667	0
2.892	1	0	12	182.233	0
2.893	1	0	13	216.638	0
2.894	1	0	14	158.784	0
2.895	1	0	15	188.84	0
2.896	1	0	16	630.445	0
2.897	1	0	17	664.347	0
2.898	1	0	18	375.302	0
2.899	1	0	19	244.179	0
2.9	1	0	20	5313.6	0
2.901	1	0	21	496.245	0
3.201	1	0	1	238.291	0
3.202	1	0	2	152.967	0
3.203	1	0	3	179.941	0
3.204	1	0	4	216.354	0
3.205	1	0	5	250.244	0
3.206	1	0	6	5323.89	0
3.207	1	0	7	149.029	0
3.208	1	0	8	237.789	0
3.209	1	0	9	182.925	0
3.21	1	0	10	1225.29	0
3.211	1	0	11	218.082	0
3.212	1	0	12	181.743	0
3.213	1	0	13	216.223	0
3.214	1	0	14	159.023	0
3.215	1	0	15	188.6	0
3.216	1	0	16	628.299	0
3.217	1	0	17	666.234	0
3.218	1	0	18	374.408	0
3.219	1	0	19	244.421	0
3.22	1	0	20	5314.61	0
3.221	1	0	21	496.642	0
