% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.00721428	1	0	0	1.24397e-13	262.252	0
0.00721428	1	0	0	1.9855e-13	418.58	0
0.00721428	1	0	0	1.6734e-13	352.784	0
0.00721428	1	0	0	1.41546e-13	298.406	0
0.00721428	1	0	0	1.90095e-13	400.756	0
0.00721428	1	0	0	1.86276e-13	392.703	0
0.00821428	1	0	0	1.47842e-13	311.678	0
0.00821428	1	0	0	3.89109e-13	820.314	0
0.00821428	1	0	0	1.709e-13	360.288	0
0.00821428	1	0	0	9.52562e-13	2008.18	0
0.00821428	1	0	0	1.42504e-13	300.425	0
0.00821428	1	0	0	1.61725e-11	34094.6	0
0.00821428	1	0	0	5.0516e-13	1064.97	0
0.00821428	1	0	0	1.87113e-13	394.468	0
0.00821428	1	0	0	1.67172e-13	352.43	0
0.00821428	1	0	0	4.90905e-13	1034.92	0
0.00821428	1	0	0	1.42554e-13	300.53	0
0.00821428	1	0	0	1.18793e-13	250.437	0
0.00821428	1	0	0	2.10811e-09	4.44429e+06	0
0.00821428	1	0	0	2.91281e-13	614.075	0
0.00821428	1	0	0	1.18829e-13	250.513	0
0.00821428	1	0	0	1.24397e-13	262.251	0
0.00821428	1	0	0	1.98549e-13	418.577	0
0.00821428	1	0	0	1.6734e-13	352.785	0
0.00821428	1	0	0	1.41547e-13	298.407	0
0.00821428	1	0	0	1.90096e-13	400.757	0
0.00821428	1	0	0	1.86275e-13	392.702	0
0.00921428	1	0	0	1.47843e-13	311.679	0
0.00921428	1	0	0	3.89109e-13	820.313	0
0.00921428	1	0	0	1.709e-13	360.288	0
0.00921428	1	0	0	9.52571e-13	2008.2	0
0.00921428	1	0	0	1.42505e-13	300.426	0
0.00921428	1	0	0	1.61721e-11	34093.8	0
0.00921428	1	0	0	5.05166e-13	1064.98	0
0.00921428	1	0	0	1.87113e-13	394.469	0
0.00921428	1	0	0	1.67173e-13	352.433	0
0.00921428	1	0	0	4.90909e-13	1034.93	0
0.00921428	1	0	0	1.42553e-13	300.527	0
0.00921428	1	0	0	1.18792e-13	250.436	0
0.00921428	1	0	0	2.10959e-09	4.44741e+06	0
0.00921428	1	0	0	2.91284e-13	614.081	0
0.00921428	1	0	0	1.18829e-13	250.513	0
0.00921428	1	0	0	1.24396e-13	262.251	0
0.00921428	1	0	0	1.98547e-13	418.574	0
0.00921428	1	0	0	1.67341e-13	352.785	0
0.00921428	1	0	0	1.41548e-13	298.409	0
0.00921428	1	0	0	1.90096e-13	400.758	0
0.00921428	1	0	0	1.86274e-13	392.7	0
0.0102143	1	0	0	1.47843e-13	311.68	0
0.0102143	1	0	0	3.89108e-13	820.313	0
0.0102143	1	0	0	1.709e-13	360.288	0
0.0102143	1	0	0	9.5258e-13	2008.22	0
0.0102143	1	0	0	1.42506e-13	300.428	0
0.0102143	1	0	0	1.61717e-11	34092.9	0
0.0102143	1	0	0	5.05172e-13	1065	0
0.0102143	1	0	0	1.87114e-13	394.47	0
0.0102143	1	0	0	1.67175e-13	352.435	0
0.0102143	1	0	0	4.90914e-13	1034.94	0
0.0102143	1	0	0	1.42551e-13	300.525	0
0.0102143	1	0	0	1.18791e-13	250.434	0
0.0102143	1	0	0	2.11107e-09	4.45053e+06	0
0.0102143	1	0	0	2.91287e-13	614.087	0
0.0102143	1	0	0	1.18829e-13	250.513	0
0.0102143	1	0	0	1.24396e-13	262.25	0
0.0102143	1	0	0	1.98546e-13	418.571	0
0.0102143	1	0	0	1.67341e-13	352.785	0
0.0102143	1	0	0	1.41549e-13	298.411	0
0.0102143	1	0	0	1.90097e-13	400.759	0
0.0102143	1	0	0	1.86273e-13	392.698	0
0.0112143	1	0	0	1.47843e-13	311.681	0
0.0112143	1	0	0	3.89108e-13	820.312	0
0.0112143	1	0	0	1.709e-13	360.288	0
0.0112143	1	0	0	9.52589e-13	2008.23	0
0.0112143	1	0	0	1.42506e-13	300.43	0
0.0112143	1	0	0	1.61713e-11	34092.1	0
0.0112143	1	0	0	5.05178e-13	1065.01	0
0.0112143	1	0	0	1.87114e-13	394.472	0
0.0112143	1	0	0	1.67176e-13	352.438	0
0.0112143	1	0	0	4.90919e-13	1034.95	0
0.0112143	1	0	0	1.4255e-13	300.522	0
0.0112143	1	0	0	1.18791e-13	250.433	0
0.0112143	1	0	0	2.11255e-09	4.45366e+06	0
0.0112143	1	0	0	2.9129e-13	614.092	0
0.0112143	1	0	0	1.18829e-13	250.513	0
0.0112143	1	0	0	1.24396e-13	262.25	0
0.0112143	1	0	0	1.98544e-13	418.568	0
0.0112143	1	0	0	1.67341e-13	352.786	0
0.0112143	1	0	0	1.4155e-13	298.413	0
0.0112143	1	0	0	1.90097e-13	400.76	0
0.0112143	1	0	0	1.86272e-13	392.697	0
0.0122143	1	0	0	1.47844e-13	311.682	0
0.0122143	1	0	0	3.89108e-13	820.311	0
0.0122143	1	0	0	1.709e-13	360.288	0
0.0122143	1	0	0	9.52599e-13	2008.25	0
0.0122143	1	0	0	1.42507e-13	300.432	0
0.0122143	1	0	0	1.61709e-11	34091.2	0
0.0122143	1	0	0	5.05184e-13	1065.02	0
0.0122143	1	0	0	1.87115e-13	394.473	0
0.0122143	1	0	0	1.67178e-13	352.441	0
0.0122143	1	0	0	4.90924e-13	1034.96	0
0.0122143	1	0	0	1.42549e-13	300.52	0
0.0122143	1	0	0	1.1879e-13	250.432	0
0.0122143	1	0	0	2.11404e-09	4.45679e+06	0
0.0122143	1	0	0	2.91292e-13	614.098	0
0.0122143	1	0	0	1.18829e-13	250.513	0
